,rmse,mean,median,std,min,max,sse
d1_non,111.37176001322345,80.73284881929408,39.184783251822786,76.71946330602195,0.0,215.1243494943172,2232660.4071197473
d7_non,36.114971441699005,23.529344525706886,10.819683638794586,27.39819534979123,0.0,83.69240922130624,234772.40920225225
icp_non,142.5869205692002,107.41384637664616,87.30027349713029,93.772573410255,0.0,306.5605722113076,3659585.3851333335
kd_non,27.654334955952802,18.161662330320258,10.341479147180907,20.854646083198322,0.0,69.90997202970397,137657.20353408594
