,rmse,mean,median,std,min,max,sse
d1_chcv,5.998492506580493,5.6474749126252135,6.465391662508498,2.0218653423932915,0.0,7.894875342224282,6476.744223270418
d7_chcv,14.349499407042986,11.299978021684476,7.936536400675625,8.844129688226804,0.0,28.243088695251878,36651.64771542541
icp_chcv,74.39239728413543,52.974180899035886,33.18030255840968,52.22992371961557,0.0,175.72336114044887,996161.1792625153
kd_chcv,12.39551449711312,9.699813179021035,6.947240962529274,7.7176682968518024,0.0,30.59727293325437,27656.78033666548
